Pathway	Symbol
Cell Cycle	CDKN1A
Cell Cycle	CDKN1B
Cell Cycle	CDKN2A
Cell Cycle	CDKN2B
Cell Cycle	CDKN2C
Cell Cycle	CCND1
Cell Cycle	CCND2
Cell Cycle	CCND3
Cell Cycle	CCNE1
Cell Cycle	CDK2
Cell Cycle	CDK4
Cell Cycle	CDK6
Cell Cycle	RB1
Cell Cycle	E2F1
Cell Cycle	E2F3
HIPPO	STK4
HIPPO	STK3
HIPPO	SAV1
HIPPO	LATS1
HIPPO	LATS2
HIPPO	MOB1A
HIPPO	MOB1B
HIPPO	YAP1
HIPPO	WWTR1
HIPPO	TEAD1
HIPPO	TEAD2
HIPPO	TEAD3
HIPPO	TEAD4
HIPPO	PTPN14
HIPPO	NF2
HIPPO	WWC1
HIPPO	TAOK1
HIPPO	TAOK2
HIPPO	TAOK3
HIPPO	CRB1
HIPPO	CRB2
HIPPO	CRB3
HIPPO	LLGL1
HIPPO	LLGL2
HIPPO	HMCN1
HIPPO	SCRIB
HIPPO	HIPK2
HIPPO	FAT1
HIPPO	FAT2
HIPPO	FAT3
HIPPO	FAT4
HIPPO	DCHS1
HIPPO	DCHS2
HIPPO	CSNK1E
HIPPO	CSNK1D
HIPPO	AJUBA
HIPPO	LIMD1
HIPPO	WTIP
MYC	MAX
MYC	MGA
MYC	MLX
MYC	MLXIP
MYC	MLXIPL
MYC	MNT
MYC	MXD1
MYC	MXD3
MYC	MXD4
MYC	MXI1
MYC	MYC
MYC	MYCL
MYC	MYCN
NOTCH	ARRDC1
NOTCH	CNTN6
NOTCH	CREBBP
NOTCH	EP300
NOTCH	HES1
NOTCH	HES2
NOTCH	HES3
NOTCH	HES4
NOTCH	HES5
NOTCH	HEY1
NOTCH	HEY2
NOTCH	HEYL
NOTCH	KAT2B
NOTCH	KDM5A
NOTCH	NOTCH1
NOTCH	NOTCH2
NOTCH	NOTCH3
NOTCH	NOTCH4
NOTCH	NOV
NOTCH	NRARP
NOTCH	PSEN2
NOTCH	LFNG
NOTCH	ITCH
NOTCH	NCSTN
NOTCH	SPEN
NOTCH	JAG1
NOTCH	APH1A
NOTCH	FBXW7
NOTCH	FHL1
NOTCH	THBS2
NOTCH	HDAC2
NOTCH	MFAP2
NOTCH	CUL1
NOTCH	RFNG
NOTCH	NCOR1
NOTCH	NCOR2
NOTCH	MFAP5
NOTCH	HDAC1
NOTCH	NUMB
NOTCH	JAG2
NOTCH	MAML3
NOTCH	MFNG
NOTCH	CIR1
NOTCH	CNTN1
NOTCH	MAML1
NOTCH	MAML2
NOTCH	NUMBL
NOTCH	PSEN1
NOTCH	PSENEN
NOTCH	RBPJ
NOTCH	RBPJL
NOTCH	RBX1
NOTCH	SAP30
NOTCH	SKP1
NOTCH	SNW1
NOTCH	CTBP1
NOTCH	CTBP2
NOTCH	ADAM10
NOTCH	APH1B
NOTCH	ADAM17
NOTCH	DLK1
NOTCH	DLL1
NOTCH	DLL3
NOTCH	DLL4
NOTCH	DNER
NOTCH	DTX1
NOTCH	DTX2
NOTCH	DTX3
NOTCH	DTX3L
NOTCH	DTX4
NOTCH	EGFL7
NRF2	NFE2L2
NRF2	KEAP1
NRF2	CUL3
PI3K	EIF4EBP1
PI3K	AKT1
PI3K	AKT2
PI3K	AKT3
PI3K	AKT1S1
PI3K	DEPDC5
PI3K	DEPTOR
PI3K	INPP4B
PI3K	MAPKAP1
PI3K	MLST8
PI3K	MTOR
PI3K	NPRL2
PI3K	NPRL3
PI3K	PDK1
PI3K	PIK3CA
PI3K	PIK3CB
PI3K	PIK3R1
PI3K	PIK3R2
PI3K	PIK3R3
PI3K	PPP2R1A
PI3K	PTEN
PI3K	RHEB
PI3K	RICTOR
PI3K	RPTOR
PI3K	RPS6
PI3K	RPS6KB1
PI3K	STK11
PI3K	TSC1
PI3K	TSC2
TGF-Beta	TGFBR1
TGF-Beta	TGFBR2
TGF-Beta	ACVR2A
TGF-Beta	ACVR1B
TGF-Beta	SMAD2
TGF-Beta	SMAD3
TGF-Beta	SMAD4
RTK RAS	ABL1
RTK RAS	EGFR
RTK RAS	ERBB2
RTK RAS	ERBB3
RTK RAS	ERBB4
RTK RAS	PDGFRA
RTK RAS	PDGFRB
RTK RAS	MET
RTK RAS	FGFR1
RTK RAS	FGFR2
RTK RAS	FGFR3
RTK RAS	FGFR4
RTK RAS	FLT3
RTK RAS	ALK
RTK RAS	RET
RTK RAS	ROS1
RTK RAS	KIT
RTK RAS	IGF1R
RTK RAS	NTRK1
RTK RAS	NTRK2
RTK RAS	NTRK3
RTK RAS	SOS1
RTK RAS	GRB2
RTK RAS	PTPN11
RTK RAS	KRAS
RTK RAS	HRAS
RTK RAS	NRAS
RTK RAS	RIT1
RTK RAS	ARAF
RTK RAS	BRAF
RTK RAS	RAF1
RTK RAS	RAC1
RTK RAS	MAP2K1
RTK RAS	MAP2K2
RTK RAS	MAPK1
RTK RAS	NF1
RTK RAS	RASA1
RTK RAS	CBL
RTK RAS	ERRFI1
RTK RAS	CBLB
RTK RAS	CBLC
RTK RAS	INSR
RTK RAS	INSRR
RTK RAS	IRS1
RTK RAS	SOS2
RTK RAS	SHC1
RTK RAS	SHC2
RTK RAS	SHC3
RTK RAS	SHC4
RTK RAS	RASGRP1
RTK RAS	RASGRP2
RTK RAS	RASGRP3
RTK RAS	RASGRP4
RTK RAS	RAPGEF1
RTK RAS	RAPGEF2
RTK RAS	RASGRF1
RTK RAS	RASGRF2
RTK RAS	FNTA
RTK RAS	FNTB
RTK RAS	RCE1
RTK RAS	ICMT
RTK RAS	MRAS
RTK RAS	PLXNB1
RTK RAS	MAPK3
RTK RAS	ARHGAP35
RTK RAS	RASA2
RTK RAS	RASA3
RTK RAS	RASAL1
RTK RAS	RASAL2
RTK RAS	RASAL3
RTK RAS	SPRED1
RTK RAS	SPRED2
RTK RAS	SPRED3
RTK RAS	DAB2IP
RTK RAS	SHOC2
RTK RAS	PPP1CA
RTK RAS	SCRIB
