Tumorname	Name	MBIIscore
ACC	ACC-A5J1-01A	0.04637391
ACC	ACC-A5J2-01A	0.057858686
ACC	ACC-A5J3-01A	0.048460325
ACC	ACC-A5J4-01A	0.043988297
ACC	ACC-A5J5-01A	0.016759048
ACC	ACC-A5J6-01A	0.189302425
ACC	ACC-A5J7-01A	0.037859018
ACC	ACC-A5J8-01A	0.314571273
ACC	ACC-A5J9-01A	0.031046845
ACC	ACC-A5JA-01A	0.034775692
ACC	ACC-A5JB-01A	0.257026146
ACC	ACC-A5JC-01A	0.075975844
ACC	ACC-A5JD-01A	0.181995726
ACC	ACC-A5JE-01A	0.09800886
ACC	ACC-A5JF-01A	0.093111844
ACC	ACC-A5JG-01A	0.037777925
ACC	ACC-A5JI-01A	0.178299225
ACC	ACC-A5JJ-01A	0.046054059
ACC	ACC-A5JK-01A	0.281138249
ACC	ACC-A5JL-01A	0.11905082
ACC	ACC-A5JM-01A	0.001251971
ACC	ACC-A5JO-01A	0.303730391
ACC	ACC-A5JP-01A	0.044804237
ACC	ACC-A5JQ-01A	0.229189473
ACC	ACC-A5JR-01A	0.117670812
ACC	ACC-A5JS-01A	0.035720243
ACC	ACC-A5JT-01A	0.046913255
ACC	ACC-A5JV-01A	0.374965244
ACC	ACC-A5JW-01A	0.056144846
ACC	ACC-A5JX-01A	0.036994112
ACC	ACC-A5JY-01A	0.051240546
ACC	ACC-A5JZ-01A	0.055739945
ACC	ACC-A5K0-01A	0.006609021
ACC	ACC-A5K1-01A	0.095516884
ACC	ACC-A5K2-01A	0.056623077
ACC	ACC-A5K3-01A	0.098496756
ACC	ACC-A5K4-01A	0.022580982
ACC	ACC-A5K5-01A	0.02936731
ACC	ACC-A5K6-01A	0.060397477
ACC	ACC-A5K8-01A	0.026314906
ACC	ACC-A5K9-01A	0.003871355
ACC	ACC-A5KO-01A	0.014135019
ACC	ACC-A5KT-01A	0.232337893
ACC	ACC-A5KU-01A	0.074931469
ACC	ACC-A5KV-01A	0.026772257
ACC	ACC-A5KW-01A	0.039859231
ACC	ACC-A5KX-01A	0.020801987
ACC	ACC-A5KY-01A	0.158305594
ACC	ACC-A5KZ-01A	0.020229962
ACC	ACC-A5L3-01A	0.148951515
ACC	ACC-A5L4-01A	0.082476293
ACC	ACC-A5L5-01A	0.321994792
ACC	ACC-A5L6-01A	0.06084144
ACC	ACC-A5L8-01A	0.010599341
ACC	ACC-A5L9-01A	0.187685905
ACC	ACC-A5LA-01A	0.246672054
ACC	ACC-A5LB-01A	0.015787835
ACC	ACC-A5LC-01A	0.028218195
ACC	ACC-A5LD-01A	0.010773966
ACC	ACC-A5LE-01A	0.024616804
ACC	ACC-A5LG-01A	0.047010286
ACC	ACC-A5LH-01A	0.192148271
ACC	ACC-A5LJ-01A	0.054429169
ACC	ACC-A5LK-01A	0.307473501
ACC	ACC-A5LL-01A	0.072873378
ACC	ACC-A5LM-01A	0.053011964
ACC	ACC-A5LN-01A	0.237653634
ACC	ACC-A5LO-01A	0.018602201
ACC	ACC-A5LP-01A	0.21178683
ACC	ACC-A5LR-01A	0.067290732
ACC	ACC-A5LS-01A	0.051716298
ACC	ACC-A5LT-01A	0.029829824
ACC	ACC-A5PI-01A	0.053674659
ACC	ACC-A5OF-01A	0.043684551
ACC	ACC-A5OG-01A	0.553016943
ACC	ACC-A5YG-01A	0.298122617
ACC	ACC-A5H8-01A	0.035267446
ACC	ACC-A5H9-01A	0.072411553
ACC	ACC-A5HA-01A	0.135924354
ACC	ACC-A5HB-01A	0.038096904
BLCA	BLCA-A9KO-01A	0.456525275
BLCA	BLCA-A9KP-01A	0.146258775
BLCA	BLCA-A9KQ-01A	0.040756962
BLCA	BLCA-A9KR-01A	0.097857422
BLCA	BLCA-A9KT-01A	0.344664922
BLCA	BLCA-A9KW-01A	0.188686187
BLCA	BLCA-AA7M-01A	0.163028809
BLCA	BLCA-AA7N-01A	0.656212542
BLCA	BLCA-AA7O-01A	0.144517715
BLCA	BLCA-AA7Q-01A	0.511710535
BLCA	BLCA-AA7R-01A	0.054466047
BLCA	BLCA-AA7S-01A	0.067563575
BLCA	BLCA-AA7W-01A	0.530956828
BLCA	BLCA-AA7Y-01A	0.056688821
BLCA	BLCA-AA80-01A	0.273461105
BLCA	BLCA-AA81-01A	0.286686059
BLCA	BLCA-AA82-01A	0.150150889
BLCA	BLCA-AA83-01A	0.113466766
BLCA	BLCA-AA84-01A	0.232477044
BLCA	BLCA-AA86-01A	0.501885328
BLCA	BLCA-AA87-01A	0.259409719
BLCA	BLCA-AA89-01A	0.151420515
BLCA	BLCA-A9KI-01A	0.112149425
BLCA	BLCA-A9KM-01A	0.177208971
BLCA	BLCA-A0C8-01A	0.123274317
BLCA	BLCA-A0C8-01A	0.148913906
BLCA	BLCA-A0C8-01B	0.076669121
BLCA	BLCA-A13I-01A	0.521747389
BLCA	BLCA-A13I-01A	0.5320983
BLCA	BLCA-A13I-01B	0.494772514
BLCA	BLCA-A13J-01A	0.113694492
BLCA	BLCA-A13J-01A	0.140467071
BLCA	BLCA-A13J-01B	0.157691052
BLCA	BLCA-A3JM-01A	0.150053419
BLCA	BLCA-A5ZZ-01A	0.300211546
BLCA	BLCA-A0S7-01A	0.344057463
BLCA	BLCA-A0YX-01A	0.456947714
BLCA	BLCA-A20J-01A	0.443680269
BLCA	BLCA-A20N-01A	0.182737579
BLCA	BLCA-A20O-01A	0.661803895
BLCA	BLCA-A20P-01A	0.03720472
BLCA	BLCA-A20Q-01A	0.219123098
BLCA	BLCA-A20R-01A	0.215896957
BLCA	BLCA-A20T-01A	0.144387136
BLCA	BLCA-A20U-01A	0.360535795
BLCA	BLCA-A20V-01A	0.169329746
BLCA	BLCA-A20W-01A	0.275404371
BLCA	BLCA-A20X-01A	0.325537277
BLCA	BLCA-A2LA-01A	0.039322464
BLCA	BLCA-A2LB-01A	0.286018042
BLCA	BLCA-A2LD-01A	0.292105701
BLCA	BLCA-A3PH-01A	0.070766964
BLCA	BLCA-A3PJ-01A	0.292802631
BLCA	BLCA-A3PK-01A	0.62102208
BLCA	BLCA-A42B-01A	0.167466128
BLCA	BLCA-A42C-01A	0.15129433
BLCA	BLCA-A42E-01A	0.342357311
BLCA	BLCA-A42F-01A	0.61176069
BLCA	BLCA-A0EZ-01A	0.037882063
BLCA	BLCA-A0F0-01A	0.254038091
BLCA	BLCA-A0F1-01A	0.284317535
BLCA	BLCA-A0F6-01A	0.139500614
BLCA	BLCA-A0F7-01A	0.105371572
BLCA	BLCA-A1HR-01A	0.27292611
BLCA	BLCA-A1HS-01A	0.298075798
BLCA	BLCA-A27C-01A	0.032224743
BLCA	BLCA-A3MF-01A	0.04219946
BLCA	BLCA-A3MG-01A	0.026223181
BLCA	BLCA-A3MH-01A	0.043360925
BLCA	BLCA-A3MI-01A	0.091466809
BLCA	BLCA-A47S-01A	0.040340371
BLCA	BLCA-A47T-01A	0.048904078
BLCA	BLCA-A47V-01A	0.046189345
BLCA	BLCA-A47W-01A	0.039358954
BLCA	BLCA-A47X-01A	0.074955649
BLCA	BLCA-A47Y-01A	0.073878429
BLCA	BLCA-A5U8-01A	0.043052312
BLCA	BLCA-A5UA-01A	0.043347701
BLCA	BLCA-A7I0-01A	0.157805848
BLCA	BLCA-A8HX-01A	0.059678055
BLCA	BLCA-A8HY-01A	0.045341844
BLCA	BLCA-A9FF-01A	0.191211534
BLCA	BLCA-A9FH-01A	0.028297354
BLCA	BLCA-A9FL-01A	0.122839167
BLCA	BLCA-A9FM-01A	0.051065348
BLCA	BLCA-A0YN-01A	0.374169624
BLCA	BLCA-A0YO-01A	0.44068313
BLCA	BLCA-A0YR-01A	0.382613415
BLCA	BLCA-A3KJ-01A	0.129804324
BLCA	BLCA-A3QU-01A	0.046861964
BLCA	BLCA-A3YL-01A	0.14442986
BLCA	BLCA-A5W6-01A	0.286420828
BLCA	BLCA-A72E-01A	0.171025174
BLCA	BLCA-A1A3-01A	0.303847635
BLCA	BLCA-A1A5-01A	0.122964325
BLCA	BLCA-A1A6-01A	0.189267811
BLCA	BLCA-A1A6-06A	0.318943069
BLCA	BLCA-A1A7-01A	0.126227483
BLCA	BLCA-A1AA-01A	0.07767367
BLCA	BLCA-A1AB-01A	0.258343356
BLCA	BLCA-A1AC-01A	0.205644429
BLCA	BLCA-A1AD-01A	0.143604651
BLCA	BLCA-A1AE-01A	0.107029803
BLCA	BLCA-A1AF-01A	0.462663973
BLCA	BLCA-A1AG-01A	0.101322606
BLCA	BLCA-A2HX-01A	0.137445377
BLCA	BLCA-A2I1-01A	0.232329194
BLCA	BLCA-A2I2-01A	0.472931722
BLCA	BLCA-A2I4-01A	0.490534657
BLCA	BLCA-A2I6-01A	0.149994575
BLCA	BLCA-A3IK-01A	0.213289679
BLCA	BLCA-A3IL-01A	0.110164055
BLCA	BLCA-A3IM-01A	0.125308574
BLCA	BLCA-A3IN-01A	0.296699036
BLCA	BLCA-A3IQ-01A	0.110982213
BLCA	BLCA-A3IS-01A	0.067329968
BLCA	BLCA-A3IT-01A	0.276910813
BLCA	BLCA-A3IU-01A	0.566870028
BLCA	BLCA-A3IV-01A	0.388598813
BLCA	BLCA-A3WW-01A	0.499682396
BLCA	BLCA-A3WX-01A	0.573854055
BLCA	BLCA-A3WY-01A	0.876875025
BLCA	BLCA-A3X1-01A	0.276971885
BLCA	BLCA-A3X2-01A	0.044056824
BLCA	BLCA-A6AV-01A	0.270544913
BLCA	BLCA-A6AW-01A	0.05346249
BLCA	BLCA-A6B0-01A	0.039653358
BLCA	BLCA-A6B1-01A	0.043338848
BLCA	BLCA-A6B2-01A	0.2597306
BLCA	BLCA-A6B5-01A	0.258744586
BLCA	BLCA-A6B6-01A	0.263844525
BLCA	BLCA-AA6L-01A	0.145084224
BLCA	BLCA-AA6M-01A	0.270772809
BLCA	BLCA-AA6P-01A	0.065890499
BLCA	BLCA-AA6Q-01A	0.278445692
BLCA	BLCA-AA6R-01A	0.246029085
BLCA	BLCA-AA6S-01A	0.21146519
BLCA	BLCA-AA6T-01A	0.884207269
BLCA	BLCA-AA6U-01A	0.148617462
BLCA	BLCA-AA6W-01A	0.20954313
BLCA	BLCA-AA6X-01A	0.382234554
BLCA	BLCA-AA71-01A	0.093062002
BLCA	BLCA-AA74-01A	0.459403905
BLCA	BLCA-AA75-01A	0.074433917
BLCA	BLCA-AA76-01A	0.072267515
BLCA	BLCA-AA77-01A	0.129360198
BLCA	BLCA-A2PC-01A	0.117345189
BLCA	BLCA-A4TZ-01A	0.142904622
BLCA	BLCA-A4U1-01A	0.057070708
BLCA	BLCA-A3X6-01A	0.28188985
BLCA	BLCA-A3Y1-01A	0.100777811
BLCA	BLCA-A4IJ-01A	0.22461441
BLCA	BLCA-A4XJ-01A	0.075215865
BLCA	BLCA-A519-01A	0.182230132
BLCA	BLCA-A541-01A	0.298365859
BLCA	BLCA-A5KE-01A	0.041245822
BLCA	BLCA-A5KF-01A	0.038580723
BLCA	BLCA-A677-01A	0.093329988
BLCA	BLCA-A678-01A	0.060954182
BLCA	BLCA-A6MD-01A	0.324588073
BLCA	BLCA-A6ME-01A	0.196752616
BLCA	BLCA-A6MF-01A	0.031678583
BLCA	BLCA-A7DU-01A	0.056142947
BLCA	BLCA-A7DV-01A	0.467637744
BLCA	BLCA-A7PW-01A	0.073837473
BLCA	BLCA-A7XN-01A	0.559236426
BLCA	BLCA-A85H-01A	0.12358757
BLCA	BLCA-A8O7-01A	0.119988288
BLCA	BLCA-A8O8-01A	0.05137408
BLCA	BLCA-A97P-01A	0.429532779
BLCA	BLCA-A97Q-01A	0.188571634
BLCA	BLCA-A3B3-01A	0.578241175
BLCA	BLCA-A3B4-01A	0.256062066
BLCA	BLCA-A3B5-01A	0.122927715
BLCA	BLCA-A3B6-01A	0.4363852
BLCA	BLCA-A3B7-01A	0.526987534
BLCA	BLCA-A3B8-01A	0.698932891
BLCA	BLCA-A3N5-01A	0.1514421
BLCA	BLCA-A3N6-01A	0.134182431
BLCA	BLCA-A3NA-01A	0.320085069
BLCA	BLCA-A3SJ-01A	0.241145077
BLCA	BLCA-A3SL-01A	0.11667252
BLCA	BLCA-A3SM-01A	0.154579034
BLCA	BLCA-A3SN-01A	0.163970224
BLCA	BLCA-A3SO-01A	0.30331356
BLCA	BLCA-A3SP-01A	0.419164183
BLCA	BLCA-A3SQ-01A	0.240719604
BLCA	BLCA-A3SR-01A	0.199031751
BLCA	BLCA-A3SS-01A	0.153883236
BLCA	BLCA-A43N-01A	0.205083788
BLCA	BLCA-A43P-01A	0.387135166
BLCA	BLCA-A43S-01A	0.58635989
BLCA	BLCA-A43U-01A	0.48301682
BLCA	BLCA-A43X-01A	0.029945736
BLCA	BLCA-A43Y-01A	0.337323044
BLCA	BLCA-A5BR-01A	0.292755531
BLCA	BLCA-A5BS-01A	0.679355365
BLCA	BLCA-A5BT-01A	0.519710203
BLCA	BLCA-A5BU-01A	0.392155591
BLCA	BLCA-A5BV-01A	0.062829198
BLCA	BLCA-A5BX-01A	0.301008339
BLCA	BLCA-A5BY-01A	0.17349987
BLCA	BLCA-A5BZ-01A	0.123383054
BLCA	BLCA-A5C0-01A	0.207096602
BLCA	BLCA-A5C1-01A	0.40293793
BLCA	BLCA-A62N-01A	0.56569187
BLCA	BLCA-A62O-01A	0.075101322
BLCA	BLCA-A62P-01A	0.396883274
BLCA	BLCA-A62S-01A	0.3615126
BLCA	BLCA-A6TA-01A	0.295779199
BLCA	BLCA-A6TB-01A	0.573997146
BLCA	BLCA-A6TC-01A	0.22999345
BLCA	BLCA-A6TD-01A	0.393107269
BLCA	BLCA-A6TE-01A	0.07509965
BLCA	BLCA-A6TF-01A	0.270985347
BLCA	BLCA-A6TG-01A	0.239346575
BLCA	BLCA-A6TH-01A	0.117562939
BLCA	BLCA-A6TI-01A	0.131459583
BLCA	BLCA-A6TK-01A	0.426437524
BLCA	BLCA-A3Z7-01A	0.171522878
BLCA	BLCA-A3Z9-01A	0.107274249
BLCA	BLCA-A3ZE-01A	0.035931973
BLCA	BLCA-A3ZF-01A	0.052407983
BLCA	BLCA-A871-01A	0.072296404
BLCA	BLCA-A3EE-01A	0.21555016
BLCA	BLCA-A61P-01A	0.26264754
BLCA	BLCA-A2EC-01A	0.286323883
BLCA	BLCA-A2EF-01A	0.25314335
BLCA	BLCA-A2EJ-01A	0.395041262
BLCA	BLCA-A2EK-01A	0.310219233
BLCA	BLCA-A2EL-01A	0.040042858
BLCA	BLCA-A2EO-01A	0.31864574
BLCA	BLCA-A2ES-01A	0.330335698
BLCA	BLCA-A3IB-01A	0.087293126
BLCA	BLCA-A3IE-01A	0.186864643
BLCA	BLCA-A3VY-01A	0.048072164
BLCA	BLCA-AA3B-01A	0.160305693
BLCA	BLCA-AA3C-01A	0.413852867
BLCA	BLCA-AA3D-01A	0.260747056
BLCA	BLCA-AA3F-01A	0.11915553
BLCA	BLCA-A3BM-01A	0.06312073
BLCA	BLCA-A3I6-01A	0.173926408
BLCA	BLCA-A3OO-01A	0.378833278
BLCA	BLCA-A3RB-01A	0.104852642
BLCA	BLCA-A3RC-01A	0.165406824
BLCA	BLCA-A3RD-01A	0.170109957
BLCA	BLCA-A3WC-01A	0.468092024
