Metabolic Function	Gene Name
TGF-beta signaling pathway	MAPK1
TGF-beta signaling pathway	SMURF2
TGF-beta signaling pathway	RHOA
TGF-beta signaling pathway	BMP7
TGF-beta signaling pathway	INHBB
TGF-beta signaling pathway	ROCK1
TGF-beta signaling pathway	SKP1
TGF-beta signaling pathway	SMURF1
TGF-beta signaling pathway	TFDP1
TGF-beta signaling pathway	PPP2CB
TGF-beta signaling pathway	SMAD1
TGF-beta signaling pathway	BMPR1A
TGF-beta signaling pathway	RGMB
TGF-beta signaling pathway	TGFBR1
TGF-beta signaling pathway	ACVR1
TGF-beta signaling pathway	ACVR1C
TGF-beta signaling pathway	SMAD6
TGF-beta signaling pathway	TGIF1
TGF-beta signaling pathway	ACVR2B
TGF-beta signaling pathway	ID1
TGF-beta signaling pathway	SMAD3
TGF-beta signaling pathway	NEO1
TGF-beta signaling pathway	ID3
TGF-beta signaling pathway	ID2
TGF-beta signaling pathway	LTBP1
TGF-beta signaling pathway	BMPR1B
TGF-beta signaling pathway	SMAD9
TGF-beta signaling pathway	AMH
TGF-beta signaling pathway	FMOD
TGF-beta signaling pathway	BMP2
TGF-beta signaling pathway	SMAD7
TGF-beta signaling pathway	TGFB2
TGF-beta signaling pathway	DCN
TGF-beta signaling pathway	ID4
TGF-beta signaling pathway	BMP6
TGF-beta signaling pathway	GDF5
TGF-beta signaling pathway	BMP4
Wnt signaling pathway	WNT11
Wnt signaling pathway	TCF7L2
Wnt signaling pathway	AXIN2
Wnt signaling pathway	NFATC2
Wnt signaling pathway	NFATC1
Wnt signaling pathway	WNT2
Wnt signaling pathway	PRICKLE2
Wnt signaling pathway	CTNNB1
Wnt signaling pathway	RNF43
Wnt signaling pathway	SMAD3
Wnt signaling pathway	PRICKLE1
Wnt signaling pathway	WNT5B
Wnt signaling pathway	TCF7L1
Wnt signaling pathway	GPC4
Wnt signaling pathway	CXXC4
Wnt signaling pathway	LRP5
Wnt signaling pathway	FZD8
Wnt signaling pathway	WNT6
Wnt signaling pathway	WNT10B
Wnt signaling pathway	ROR2
Wnt signaling pathway	CCND2
Wnt signaling pathway	SERPINF1
Wnt signaling pathway	WNT5A
Wnt signaling pathway	RSPO3
Wnt signaling pathway	FZD7
Wnt signaling pathway	WNT2B
Wnt signaling pathway	SFRP4
Wnt signaling pathway	DKK2
Wnt signaling pathway	SFRP2
