Metabolic Function	Gene Name	Entrez No.	Full Gene Name
AMPK Complex	PRKAA1	5562	protein kinase, AMP-activated, alpha 1 catalytic subunit
AMPK Complex	PRKAA2	5563	protein kinase, AMP-activated, alpha 2 catalytic subunit
AMPK Complex	PRKAB1	5564	protein kinase, AMP-activated, beta 1 non-catalytic subunit
AMPK Complex	PRKAB2	5565	protein kinase, AMP-activated, beta 2 non-catalytic subunit
AMPK Complex	PRKAG1	5571	protein kinase, AMP-activated, gamma 1 non-catalytic subunit
AMPK Complex	PRKAG2	51422	protein kinase, AMP-activated, gamma 2 non-catalytic subunit
AMPK Complex	PRKAG3	53632	protein kinase, AMP-activated, gamma 3 non-catalytic subunit
Fatty Acid Synthesis	ACACA	31	acetyl-CoA carboxylase alpha
Fatty Acid Synthesis	ACACB	32	acetyl-CoA carboxylase beta
Fatty Acid Synthesis	ACLY	47	ATP citrate lyase
Fatty Acid Synthesis	FASN	2194	fatty acid synthase
Glycogen Metabolism	AGL	178	amylo-1, 6-glucosidase, 4-alpha-glucanotransferase
Glycogen Metabolism	GBE1	2632	glucan (1,4-alpha-), branching enzyme 1
Glycogen Metabolism	GDE1	51573	glycerophosphodiester phosphodiesterase 1
Glycogen Metabolism	GSK3A	2931	glycogen synthase kinase 3 alpha
Glycogen Metabolism	GSK3B	2932	glycogen synthase kinase 3 beta
Glycogen Metabolism	GYS1	2997	glycogen synthase 1 (muscle)
Glycogen Metabolism	GYS2	2998	glycogen synthase 2 (liver)
Glycogen Metabolism	PGM1	5236	phosphoglucomutase 1
Glycogen Metabolism	PGM2	55276	phosphoglucomutase 2
Glycogen Metabolism	PGM2L1	283209	phosphoglucomutase 2-like 1
Glycogen Metabolism	PGM3	5238	phosphoglucomutase 3
Glycogen Metabolism	PGM5	5239	phosphoglucomutase 5
Glycogen Metabolism	PGM5P2	595135	phosphoglucomutase 5 pseudogene 2
Glycogen Metabolism	PYGB	5834	phosphorylase, glycogen; brain
Glycogen Metabolism	PYGL	5836	phosphorylase, glycogen, liver
Glycogen Metabolism	PYGM	5837	phosphorylase, glycogen, muscle
Glycolysis	ALDOA	226	aldolase A, fructose-bisphosphate
Glycolysis	ALDOB	229	aldolase B, fructose-bisphosphate
Glycolysis	ALDOC	230	aldolase C, fructose-bisphosphate
Glycolysis	ENO1	2023	enolase 1, (alpha)
Glycolysis	ENO2	2026	enolase 2 (gamma, neuronal)
Glycolysis	ENO3	2027	enolase 3 (beta, muscle)
Glycolysis	ENOPH1	58478	enolase-phosphatase 1
Glycolysis	ENOSF1	55556	enolase superfamily member 1
Glycolysis	GAPDH	2597	glyceraldehyde-3-phosphate dehydrogenase
Glycolysis	GPI	2821	glucose phosphate isomerase
Glycolysis	HK1	3098	hexokinase 1
Glycolysis	HK2	3099	hexokinase 2
Glycolysis	HK3	3101	hexokinase 3 (white cell)
Glycolysis	LDHA	3939	lactate dehydrogenase A
Glycolysis	LDHB	3945	lactate dehydrogenase B
Glycolysis	LDHC	3948	lactate dehydrogenase C
Glycolysis	LDHD	197257	lactate dehydrogenase D
