Metabolic Function	Gene Name
Linoleic acid metabolism	PLA2G2A
Linoleic acid metabolism	PLA2G4F
Linoleic acid metabolism	CYP2C8
Linoleic acid metabolism	PLA2G2D
Linoleic acid metabolism	PLA2G4C
Linoleic acid metabolism	CYP3A4
2-Oxocarboxylic acid metabolism	GPT2
2-Oxocarboxylic acid metabolism	GPT
2-Oxocarboxylic acid metabolism	GOT1
2-Oxocarboxylic acid metabolism	ACO1
2-Oxocarboxylic acid metabolism	ACY1
2-Oxocarboxylic acid metabolism	ACO2
Starch and sucrose metabolism	ENPP3
Starch and sucrose metabolism	GPI
Starch and sucrose metabolism	GYG2
Starch and sucrose metabolism	HK3
Starch and sucrose metabolism	AMY2B
Starch and sucrose metabolism	GYS1
Alanine aspartate and glutamate metabolism	ALDH4A1
Alanine aspartate and glutamate metabolism	ASS1
Alanine aspartate and glutamate metabolism	GPT2
Alanine aspartate and glutamate metabolism	GPT
Alanine aspartate and glutamate metabolism	GLUL
Alanine aspartate and glutamate metabolism	GOT1
Alanine aspartate and glutamate metabolism	ASNS
Pyrimidine metabolism	DPYS
Pyrimidine metabolism	ENPP3
Pyrimidine metabolism	TYMP
Pyrimidine metabolism	NME3
Pyrimidine metabolism	PNP
Pyrimidine metabolism	ENTPD8
Pyrimidine metabolism	UCK2
Pyrimidine metabolism	NT5C3A
Pyrimidine metabolism	ENTPD5
Pyrimidine metabolism	NME4
Pyrimidine metabolism	UPP1
Pyrimidine metabolism	NT5E
Pyrimidine metabolism	CDA
Pyrimidine metabolism	UCK1
Pyrimidine metabolism	NME2
Pyrimidine metabolism	TK2
Pyrimidine metabolism	NT5C3B
Pyrimidine metabolism	NME1
Pyrimidine metabolism	CTPS2
Pyrimidine metabolism	UCKL1
Amino acid Metabolism	SLC3A2
Amino acid Metabolism	GOT1
Amino acid Metabolism	GOT2
Amino acid Metabolism	ACAD8
Amino acid Metabolism	ACADSB
Amino acid Metabolism	NDUFAB1
Amino acid Metabolism	ASPA
Amino acid Metabolism	AGXT2
Amino acid Metabolism	GPT
Amino acid Metabolism	ARG2
Amino acid Metabolism	ARG1
Amino acid Metabolism	ASL
Amino acid Metabolism	ASNS
Amino acid Metabolism	ASS1
Amino acid Metabolism	SAT1
Amino acid Metabolism	TAT
Amino acid Metabolism	BCAT2
Amino acid Metabolism	BCAT1
Amino acid Metabolism	BCKDK
Amino acid Metabolism	BHMT
Amino acid Metabolism	BBOX1
Amino acid Metabolism	CBS
Amino acid Metabolism	CNDP2
Amino acid Metabolism	CTH
Amino acid Metabolism	CPS1
Amino acid Metabolism	CRYM
Amino acid Metabolism	CSAD
Amino acid Metabolism	CDO1
Amino acid Metabolism	HIBADH
Amino acid Metabolism	ALDH7A1
Amino acid Metabolism	AMD1
Amino acid Metabolism	HDC
Amino acid Metabolism	ODC1
Amino acid Metabolism	DDC
Amino acid Metabolism	ALDH9A1
Amino acid Metabolism	GLUD1
Amino acid Metabolism	GLUD2
Amino acid Metabolism	QDPR
Amino acid Metabolism	SLC25A10
Amino acid Metabolism	DLD
Amino acid Metabolism	DBH
Amino acid Metabolism	SHFM1
Amino acid Metabolism	FAH
Amino acid Metabolism	IL4I1
Amino acid Metabolism	FOLH1
Amino acid Metabolism	FTCD
Amino acid Metabolism	GAMT
Amino acid Metabolism	GATM
Amino acid Metabolism	GCDH
Amino acid Metabolism	GCSH
Amino acid Metabolism	GLDC
Amino acid Metabolism	AMT
Amino acid Metabolism	CGA
Amino acid Metabolism	GNMT
Amino acid Metabolism	GLUL
Amino acid Metabolism	GLS
Amino acid Metabolism	GLS2
Amino acid Metabolism	SHMT1
Amino acid Metabolism	GCLM
Amino acid Metabolism	GCLC
Amino acid Metabolism	HAO1
Amino acid Metabolism	HSD17B10
Amino acid Metabolism	HGD
Amino acid Metabolism	HNMT
Amino acid Metabolism	HPD
Amino acid Metabolism	HAL
Amino acid Metabolism	UROC1
Amino acid Metabolism	IDO1
Amino acid Metabolism	INMT
Amino acid Metabolism	DIO3
Amino acid Metabolism	IVD
Amino acid Metabolism	GCAT
Amino acid Metabolism	CKB
Amino acid Metabolism	CKM
Amino acid Metabolism	CKMT2
Amino acid Metabolism	CKMT1A
Amino acid Metabolism	KYNU
Amino acid Metabolism	SLC7A5
Amino acid Metabolism	LIAS
Amino acid Metabolism	LIPT1
Amino acid Metabolism	GSTZ1
